0,-32.51,2
1,-32.79,1
2,-33.10,0
3,-33.41,0
4,-33.72,0
5,-34.04,0
6,-34.37,0
7,-34.69,0
8,-35.02,0
9,-35.34,0
10,-35.66,0
11,-35.96,0
12,-36.26,0
13,-36.55,0
14,-36.85,0
15,-37.15,0
16,-37.45,0
17,-37.74,0
18,-38.03,0
19,-38.30,0
20,-38.55,0
21,-38.79,0
22,-39.02,0
23,-39.23,0
24,-39.44,0
25,-39.61,0
26,-39.75,0
27,-39.85,0
28,-39.90,0
29,-39.93,0
30,-39.94,0
31,-39.93,0
32,-39.92,0
33,-39.88,0
34,-39.83,0
35,-39.76,0
36,-39.69,0
37,-39.62,0
38,-39.59,0
39,-39.57,0
40,-39.57,0
41,-39.57,0
42,-39.57,0
43,-39.56,0
44,-39.54,0
45,-39.52,0
46,-39.50,0
47,-39.48,0
48,-39.45,0
49,-39.42,0
50,-39.37,0
51,-39.32,0
52,-39.25,0
53,-39.17,0
54,-39.09,0
55,-39.01,0
56,-38.94,0
57,-38.86,0
58,-38.79,0
59,-38.70,0
60,-38.60,0
61,-38.49,0
62,-38.38,0
63,-38.27,0
64,-38.16,0
65,-38.05,0
66,-37.95,0
67,-37.84,0
68,-37.74,0
69,-37.65,0
70,-37.58,0
71,-37.52,0
72,-37.47,0
73,-37.43,0
74,-37.39,0
75,-37.36,0
76,-37.32,0
77,-37.29,0
78,-37.26,0
79,-37.23,0
80,-37.22,0
81,-37.21,0
82,-37.21,0
83,-37.21,0
84,-37.21,0
85,-37.24,0
86,-37.28,0
87,-37.34,0
88,-37.42,0
89,-37.50,0
90,-37.60,0
91,-37.70,0
92,-37.79,0
93,-37.90,0
94,-38.00,0
95,-38.09,0
96,-38.16,0
97,-38.23,0
98,-38.27,0
99,-38.31,0
100,-38.33,0
101,-38.35,0
102,-38.36,0
103,-38.37,0
104,-38.36,0
105,-38.36,0
106,-38.35,0
107,-38.34,0
108,-38.33,0
109,-38.32,0
110,-38.32,0
111,-38.31,0
112,-38.30,0
113,-38.28,0
114,-38.26,0
115,-38.23,0
116,-38.19,0
117,-38.15,0
118,-38.09,0
119,-38.02,0
120,-37.95,0
121,-37.87,0
122,-37.79,0
123,-37.69,0
124,-37.57,0
125,-37.42,0
126,-37.24,0
127,-37.03,0
128,-36.77,0
129,-36.48,0
130,-36.13,0
131,-35.73,0
132,-35.28,0
133,-34.77,0
134,-34.19,0
135,-33.54,0
136,-32.84,1
137,-32.08,4
138,-31.25,7
139,-30.39,10
140,-29.46,14
141,-28.48,18
142,-27.43,22
143,-26.29,27
144,-25.07,32
145,-23.76,37
146,-22.40,42
147,-21.00,48
148,-19.63,53
149,-18.31,59
150,-17.03,64
151,-15.76,69
152,-14.47,74
153,-13.13,79
154,-11.76,85
155,-10.38,90
156,-9.04,96
157,-7.74,101
158,-6.50,106
159,-5.29,111
160,-4.13,115
161,-3.00,120
162,-1.85,125
163,-0.70,129
164,0.47,134
165,1.65,139
166,2.86,143
167,4.08,148
168,5.30,153
169,6.53,158
170,7.74,163
