350,14.22,126
351,14.06,126
352,13.90,126
353,13.79,126
354,13.65,127
355,13.47,127
356,13.33,127
357,13.22,127
358,13.04,128
359,12.85,128
360,12.72,128
361,12.58,128
362,12.36,128
363,12.18,129
364,12.03,129
365,11.86,129
366,11.63,129
367,11.44,130
368,11.28,130
369,11.07,130
370,10.84,130
371,10.62,130
372,10.44,131
373,10.23,131
374,9.97,131
375,9.74,131
376,9.55,132
377,9.33,132
378,9.09,132
379,8.83,132
380,8.61,132
381,8.40,133
382,8.16,133
383,7.89,133
384,7.64,133
385,7.42,133
386,7.18,134
387,6.91,134
388,6.62,134
389,6.36,134
390,6.11,134
391,5.86,135
392,5.56,135
393,5.26,135
394,4.97,135
395,4.70,135
396,4.43,136
397,4.14,136
398,3.82,136
399,3.51,136
400,3.23,136
401,2.95,136
402,2.67,137
403,2.37,137
404,2.05,137
405,1.75,137
406,1.46,137
407,1.19,137
408,0.91,138
409,0.61,138
410,0.30,138
411,-0.01,138
412,-0.31,138
413,-0.59,138
414,-0.87,139
415,-1.15,139
416,-1.44,139
417,-1.75,139
418,-2.05,139
419,-2.34,139
420,-2.62,140
421,-2.89,140
422,-3.17,140
423,-3.43,140
424,-3.72,140
425,-4.01,140
426,-4.29,140
427,-4.57,141
428,-4.84,141
429,-5.10,141
430,-5.37,141
431,-5.63,141
432,-5.91,141
433,-6.20,141
434,-6.48,142
435,-6.76,142
436,-7.04,142
437,-7.32,142
438,-7.59,142
439,-7.85,142
440,-8.12,142
441,-8.40,142
442,-8.69,143
443,-8.98,143
444,-9.28,143
445,-9.56,143
446,-9.86,143
447,-10.15,143
448,-10.44,143
449,-10.73,143
450,-11.02,143
451,-11.31,144
452,-11.62,144
453,-11.93,144
454,-12.24,144
455,-12.57,144
456,-12.89,144
457,-13.23,144
458,-13.56,144
459,-13.90,144
460,-14.23,144
461,-14.56,145
462,-14.89,145
463,-15.24,145
464,-15.59,145
465,-15.94,145
466,-16.30,145
467,-16.68,145
468,-17.07,145
469,-17.46,145
470,-17.87,145
471,-18.28,145
472,-18.71,145
473,-19.13,146
474,-19.55,146
475,-19.98,146
476,-20.42,146
477,-20.86,146
478,-21.31,146
479,-21.75,146
480,-22.20,146
481,-22.66,146
482,-23.13,146
483,-23.62,146
484,-24.11,146
485,-24.62,146
486,-25.14,146
487,-25.67,146
488,-26.21,146
489,-26.76,146
490,-27.31,146
491,-27.88,146
492,-28.45,146
493,-29.03,146
494,-29.61,146
495,-30.20,146
496,-30.81,146
